"Benchmark","Runtime","AvgMs","MedianMs","MinMs"
"startup.js","forge","18.74","18.25","18.06"
"startup.js","bun","38.7","38.85","38.13"
"startup.js","node","43.92","43.87","43.07"
"json-bench.js","forge","368.51","368.48","366.01"
"json-bench.js","bun","249.37","249.18","246.84"
"json-bench.js","node","540.48","539.02","534.81"
"loop-bench.js","forge","82.6","82.97","81.67"
"loop-bench.js","bun","73.07","73.04","72.04"
"loop-bench.js","node","91.98","91.49","90.72"
"timer-bench.js","forge","21.83","22.18","20.89"
"timer-bench.js","bun","55.2","54.57","46.46"
"timer-bench.js","node","58.44","58.58","57.63"
"microtask-bench.js","forge","56.31","56.13","55.7"
"microtask-bench.js","bun","54.82","54.75","54.55"
"microtask-bench.js","node","105.03","104.74","103.09"
"promise-chain-bench.js","forge","88.35","88.38","87.3"
"promise-chain-bench.js","bun","43.71","43.82","43.35"
"promise-chain-bench.js","node","47.52","47.61","46.21"
"fs-bench.js","forge","849.99","864.01","820.83"
"fs-bench.js","bun","996.18","999.3","969.94"
"fs-bench.js","node","945.63","944.82","927.75"
